feature,pearson_corr_with_wer,spearman_corr_with_wer,pearson_corr_with_cer,spearman_corr_with_cer,samples,abs_spearman_corr_with_wer
spectral_centroid_mean,-0.16690178717656012,-0.19701591566897372,-0.21038490944388016,-0.20679233061877864,408,0.19701591566897372
spectral_rolloff_mean,-0.15872908553362036,-0.194777821072436,-0.19299398515893504,-0.1985224091897848,408,0.194777821072436
mfcc_2_std,0.16699561600850807,0.19382626755688914,0.11603481785874788,0.16402177286799596,408,0.19382626755688914
spectral_bandwidth_mean,-0.15104117938338904,-0.18629418461262073,-0.14687274474947207,-0.17610558638572943,408,0.18629418461262073
zero_crossing_rate_mean,-0.1301139112958385,-0.17763319634971325,-0.1877614127779681,-0.19892485465617177,408,0.17763319634971325
chars_per_second,0.18082216504312493,0.15647448227754998,0.16088333311635072,0.13572670218655727,408,0.15647448227754998
mfcc_2_mean,0.10193659894428206,0.1255931233514558,0.0937935071276594,0.10780766857150342,408,0.1255931233514558
mfcc_8_mean,-0.10118209542596554,-0.12038068351026177,-0.10537982544487938,-0.11906855878836903,408,0.12038068351026177
mfcc_5_mean,0.10816010348798312,0.11980049504377852,0.15005717668568794,0.15465576087992952,408,0.11980049504377852
rms_p90_db,-0.1045097227355329,-0.114621563215486,-0.0973354210453073,-0.11551368548440638,408,0.114621563215486
mfcc_9_mean,-0.10945854485810096,-0.11328707420443161,-0.05569561856499033,-0.08873413928577345,408,0.11328707420443161
peak_amplitude,-0.09762572532289317,-0.11143321099340316,-0.09369727736882238,-0.112619814063195,408,0.11143321099340316
rms_std,-0.10063604213682655,-0.108666948657594,-0.08483051289246787,-0.10822685177442892,408,0.108666948657594
mfcc_1_std,-0.07731526945683038,-0.1052960610724121,-0.05800464317657565,-0.09067534682952205,408,0.1052960610724121
mfcc_1_mean,-0.10837351019462085,-0.10384873706763674,-0.1078827481211811,-0.11072253151864994,408,0.10384873706763674
clipping_ratio,-0.06116306008742349,-0.10204040842589845,-0.035442946673318466,-0.060909485840008576,408,0.10204040842589845
mfcc_8_std,0.10311080841433994,0.09708076640652388,0.12428456899999375,0.09809857922123678,408,0.09708076640652388
zero_crossing_rate_std,-0.07481543074840662,-0.09591789025712551,-0.1230049488358526,-0.10988888127060814,408,0.09591789025712551
rms_p10_db,-0.12728769222165268,-0.09560746172525333,-0.10853975357729397,-0.07204834684962401,408,0.09560746172525333
mfcc_11_std,0.059068863691051986,0.0948923784479092,0.02717085444419654,0.08021352170343063,408,0.0948923784479092
mfcc_12_mean,0.08485087417585377,0.0838366780253993,0.10450052419844862,0.11098210514552219,408,0.0838366780253993
mfcc_6_std,-0.07258705519149716,-0.08130858175919152,-0.1028573658941907,-0.10454843363060119,408,0.08130858175919152
snr_proxy_db,0.1137903579463037,0.07700835591563504,0.09557545114457694,0.05093496670800547,408,0.07700835591563504
dynamic_range_db,0.1137903579463037,0.07700835591563504,0.09557545114457694,0.05093496670800547,408,0.07700835591563504
mean_abs_amplitude,-0.07957106633626038,-0.07365912820619613,-0.06589619623401581,-0.08138386862957783,408,0.07365912820619613
rms_mean,-0.07797021712096065,-0.07331118174073496,-0.06538631762549113,-0.07981301818437693,408,0.07331118174073496
rms_mean_db,-0.08795153796311335,-0.07331118174073496,-0.08657691937312713,-0.07981301818437693,408,0.07331118174073496
words_per_second,0.09966439648524125,0.06956085038112038,0.18083348982631453,0.12625321671487727,408,0.06956085038112038
mfcc_11_mean,-0.048374294219370374,-0.0691085179015935,-0.06327256789986782,-0.07322713498800536,408,0.0691085179015935
mfcc_5_std,-0.10616358606411769,-0.0675030982983302,-0.10885818136043707,-0.08216707811325091,408,0.0675030982983302
mfcc_7_std,0.07395362094764682,0.06740877303719787,0.048231684273453014,0.050847764025376135,408,0.06740877303719787
mfcc_13_std,0.08890548862626681,0.060969032800805775,0.06640580192403311,0.06278565407207137,408,0.060969032800805775
mfcc_13_mean,-0.09347384469247522,-0.06010708082252053,-0.07326123405327571,-0.0749048850102153,408,0.06010708082252053
mfcc_4_std,0.06658424981545241,0.0600087783095331,0.033739492509935215,0.03730416095516478,408,0.0600087783095331
spectral_rolloff_std,-0.030044152965298603,-0.0532952350284924,-0.07913901649507421,-0.08131969189389941,408,0.0532952350284924
mfcc_9_std,0.04330153260604236,0.05179052160935525,0.008749450551239445,0.025450144538527657,408,0.05179052160935525
mfcc_7_mean,-0.05679904954193044,-0.050458254124018095,-0.0071428991229485735,-0.0060389013641844016,408,0.050458254124018095
mfcc_6_mean,0.061427893997205336,0.04944477557910344,0.11546746682308562,0.06704545425798884,408,0.04944477557910344
spectral_centroid_std,-0.041687089190501944,-0.04634037851641758,-0.09773470098004729,-0.06244951223606116,408,0.04634037851641758
non_silent_duration_seconds,-0.01216775213988403,0.04507639856718019,-0.006877588729563229,0.02784138878612324,408,0.04507639856718019
spectral_bandwidth_std,0.09513249759307693,0.04214289823728298,0.0645760810938294,0.011362888688700334,408,0.04214289823728298
