feature,high_error_mean,low_or_medium_error_mean,difference_high_minus_rest,high_error_samples,low_or_medium_error_samples,wer_threshold_80_percentile
actual_duration_seconds,4.423285714285716,4.3992962962962965,0.023989417989419337,84,324,0.3
words_per_second,1.765463323580881,1.6732756573329348,0.09218766624794617,84,324,0.3
chars_per_second,10.611446801029638,9.807172869668314,0.8042739313613243,84,324,0.3
peak_amplitude,0.5998982709965536,0.6491596491225524,-0.049261378125998845,84,324,0.3
mean_abs_amplitude,0.03884373533739043,0.04286752774934917,-0.004023792411958736,84,324,0.3
rms_mean,0.05206799622447718,0.0570491803292599,-0.004981184104782724,84,324,0.3
rms_std,0.05754236287681297,0.06392330664388238,-0.006380943767069408,84,324,0.3
rms_mean_db,-27.74495428214642,-26.63408620834053,-1.1108680738058894,84,324,0.3
rms_p10_db,-91.37555036594094,-83.06615177255023,-8.30939859339071,84,324,0.3
rms_p50_db,-36.42540209755226,-35.83036341062318,-0.5950386869290796,84,324,0.3
rms_p90_db,-19.13917090652945,-17.861334379432012,-1.2778365270974383,84,324,0.3
clipping_ratio,0.0,2.180924550254056e-06,-2.180924550254056e-06,84,324,0.3
snr_proxy_db,72.23287820036737,65.19600366245004,7.036874537917328,84,324,0.3
dynamic_range_db,72.23287820036737,65.19600366245004,7.036874537917328,84,324,0.3
silence_ratio,0.35380239223708476,0.3446481724057589,0.00915421983132586,84,324,0.3
non_silent_duration_seconds,2.857701560525881,2.8874129058146356,-0.029711345288754742,84,324,0.3
leading_silence_ratio,0.10426271745576939,0.11122456871393918,-0.006961851258169796,84,324,0.3
trailing_silence_ratio,0.16352911656101707,0.16816547818828723,-0.004636361627270158,84,324,0.3
spectral_centroid_mean,1727.0537264818292,1823.9712646090372,-96.91753812720799,84,324,0.3
spectral_centroid_std,1018.8825099117104,1001.7545904213824,17.12791949032794,84,324,0.3
spectral_bandwidth_mean,1520.5178531176734,1596.2539571856244,-75.73610406795092,84,324,0.3
spectral_bandwidth_std,543.1072274830482,522.0083613019514,21.09886618109681,84,324,0.3
spectral_rolloff_mean,3292.515310624228,3487.857442276338,-195.3421316521103,84,324,0.3
spectral_rolloff_std,1794.183235629564,1791.6798494680436,2.5033861615204387,84,324,0.3
zero_crossing_rate_mean,0.14453146857313154,0.15180524546068438,-0.007273776887552846,84,324,0.3
zero_crossing_rate_std,0.12043189425147424,0.12143906769633489,-0.0010071734448606484,84,324,0.3
mfcc_1_mean,-377.48320316133044,-359.34071507866,-18.14248808267041,84,324,0.3
mfcc_1_std,159.33018293834868,164.2972773210502,-4.967094382701504,84,324,0.3
mfcc_2_mean,81.69141901107062,78.36372428470187,3.3276947263687475,84,324,0.3
mfcc_2_std,68.92724209740048,64.1855446850812,4.741697412319283,84,324,0.3
mfcc_3_mean,1.6534023568743752,1.4314928266484244,0.22190953022595084,84,324,0.3
mfcc_3_std,31.3843032064892,32.20720054190836,-0.8228973354191567,84,324,0.3
mfcc_4_mean,19.421214016997034,17.92749400455275,1.4937200124442853,84,324,0.3
mfcc_4_std,29.68155773480733,28.033776704175974,1.6477810306313572,84,324,0.3
mfcc_5_mean,-3.139682799178575,-6.103403060202614,2.9637202610240387,84,324,0.3
mfcc_5_std,19.60456069310506,20.62482788827684,-1.0202671951717797,84,324,0.3
mfcc_6_mean,-2.5026770461381167,-3.3589532182057513,0.8562761720676346,84,324,0.3
mfcc_6_std,15.597355501992363,16.149851114661605,-0.552495612669242,84,324,0.3
mfcc_7_mean,-12.797902639600492,-11.45448020450127,-1.3434224350992228,84,324,0.3
mfcc_7_std,18.543667123431252,17.740421997176277,0.8032451262549749,84,324,0.3
mfcc_8_mean,-9.580403798925024,-7.7089785959019705,-1.8714252030230538,84,324,0.3
mfcc_8_std,15.728174692108517,15.051560708034186,0.676613984074331,84,324,0.3
mfcc_9_mean,-10.653559337924456,-9.456199514553134,-1.1973598233713219,84,324,0.3
mfcc_9_std,14.715699439957028,14.311140600545906,0.4045588394111217,84,324,0.3
mfcc_10_mean,-6.922760226065293,-6.22848186647393,-0.6942783595913626,84,324,0.3
mfcc_10_std,12.711321904545738,12.254013447113978,0.4573084574317594,84,324,0.3
mfcc_11_mean,-6.951592817370381,-6.4385635307185165,-0.5130292866518644,84,324,0.3
mfcc_11_std,11.90180352188292,11.664470616682076,0.23733290520084438,84,324,0.3
mfcc_12_mean,-2.8163902965551686,-3.6564986228074785,0.8401083262523099,84,324,0.3
mfcc_12_std,10.153342780612764,9.956916608928163,0.1964261716846014,84,324,0.3
mfcc_13_mean,-6.947638219000683,-6.451932975637186,-0.49570524336349653,84,324,0.3
mfcc_13_std,10.400682182539077,10.043211645550198,0.3574705369888793,84,324,0.3
