reference_word,predicted_word,count
iti,eți,3
ști,aștii,2
sa,să,2
ca,că,2
in,în,2
banii,bani,2
am,a,2
dvs,dumneavoastră,2
amintesti,amintești,1
acestei,este,1
directive,directivă,1
provin,proven,1
dintr-o,din,1
țară,trățară,1
umed,umeză,1
cărbune,cărpune,1
cărbunelui,lui,1
fiți,piți,1
ambițioasă,ambitioasă,1
frecvent,frecquent,1
ghidează,ghiidează,1
alegerea,alegeria,1
masă,masa,1
haos,haus,1
activi,activ,1
sens,senci,1
care,carei,1
întrebarea,intrebarea,1
lasa,lăsați,1
m-il,îmi,1
iei,iliei,1
principiul,principil,1
precauției,precauție,1
prea,așteptare,1
libertatea,libertate,1
gândire,gădire,1
poruncesc,porunce,1
bei,bein,1
niste,niște,1
apa,apă,1
monede,monete,1
problemele,la,1
aici,iti,1
datorează,datoarează,1
coordonarea,cordonarea,1
existe,există,1
asemenea,astemenea,1
concis,concist,1
vrem,vream,1
beneficiile,beneficilă,1
