cluster,age,samples,total_samples,percentage
0,twenties,922,1711,0.5388661601402689
0,unknown,396,1711,0.2314436002337814
0,thirties,181,1711,0.10578609000584453
0,fourties,125,1711,0.07305669199298656
0,teens,79,1711,0.046171829339567504
0,fifties,8,1711,0.004675628287551139
1,twenties,824,1562,0.5275288092189501
1,unknown,415,1562,0.26568501920614596
1,thirties,171,1562,0.10947503201024328
1,fourties,86,1562,0.05505761843790013
1,teens,59,1562,0.03777208706786172
1,fifties,5,1562,0.003201024327784891
1,eighties,2,1562,0.0012804097311139564
2,twenties,373,1014,0.3678500986193294
2,unknown,345,1014,0.34023668639053256
2,fourties,186,1014,0.1834319526627219
2,thirties,95,1014,0.09368836291913216
2,teens,13,1014,0.01282051282051282
2,fifties,2,1014,0.0019723865877712033
