k,seed,silhouette,davies_bouldin,calinski_harabasz,min_cluster_samples,max_cluster_samples,mean_cluster_samples,min_cluster_duration_hours,max_cluster_duration_hours,mean_cluster_duration_hours,min_cluster_speakers,max_cluster_speakers,duration_balance_ratio,stability_ari
2,42,0.16705018281936646,2.114276327218884,898.4558037379896,1967,2320,2143.5,2.2296122222222223,2.771946388888889,2.5007793055555556,266,276,1.2432414754733134,0.9990671252103461
2,123,0.16698108613491058,2.114302247071612,898.454777572421,1969,2318,2143.5,2.231419444444444,2.7701391666666666,2.5007793055555556,266,276,1.2414246786113972,0.9990671252103461
2,999,0.16705018281936646,2.114276327218884,898.4558037379896,1967,2320,2143.5,2.2296122222222223,2.771946388888889,2.5007793055555556,266,276,1.2432414754733134,0.9990671252103461
3,42,0.14276084303855896,1.9022727018859455,749.9995987478225,1014,1711,1429.0,1.5034008333333335,1.841136111111111,1.6671862037037037,209,249,1.2246475259887628,1.0
3,123,0.14276084303855896,1.9022727018859455,749.9995987478223,1014,1711,1429.0,1.5034008333333335,1.841136111111111,1.6671862037037037,209,249,1.2246475259887628,1.0
3,999,0.14276084303855896,1.9022727018859455,749.9995987478223,1014,1711,1429.0,1.5034008333333335,1.841136111111111,1.6671862037037037,209,249,1.2246475259887628,1.0
4,42,0.12626759707927704,2.1289897264089888,632.4683252166948,764,1586,1071.75,0.7845933333333334,1.7071097222222222,1.2503896527777778,167,244,2.175789226973917,0.9419254713089273
4,123,0.12688413262367249,2.121311445906138,632.4785827499161,783,1577,1071.75,0.7501786111111112,1.6999333333333333,1.2503896527777778,156,243,2.2660381249946773,0.9419254713089273
4,999,0.12688234448432922,2.122438382924279,632.4752398989638,783,1579,1071.75,0.7478319444444445,1.700045277777778,1.2503896527777778,156,244,2.2732985537823227,0.9419254713089273
5,42,0.1163972020149231,2.1044305797710186,552.9416620313146,461,1419,857.4,0.48103749999999995,1.522758611111111,1.0003117222222222,116,223,3.1655715222017227,0.9932573545027956
5,123,0.11648546159267426,2.1033417086890296,552.9451550102145,464,1420,857.4,0.48422027777777776,1.5232191666666666,1.0003117222222222,116,223,3.1457153625559533,0.9932573545027956
5,999,0.11641710996627808,2.103865261831248,552.9466441202161,461,1419,857.4,0.48103749999999995,1.522758611111111,1.000311722222222,116,223,3.1655715222017227,0.9932573545027956
6,42,0.09467058628797531,2.3457280030741483,490.81476127278455,472,1087,714.5,0.4713144444444444,1.2005350000000001,0.8335931018518519,125,202,2.5472060407889994,0.9928810704223628
6,123,0.09491103142499924,2.342595876177798,490.83173782191324,466,1089,714.5,0.4661688888888889,1.2024752777777779,0.8335931018518518,124,202,2.5794841878956603,0.9928810704223628
6,999,0.09456437081098557,2.345300192021899,490.82837466897547,472,1087,714.5,0.47174194444444445,1.2008774999999998,0.8335931018518519,125,202,2.5456237549837453,0.9928810704223628
7,42,0.09967947751283646,2.2020161711401456,447.1474911400273,101,1083,612.4285714285714,0.12649833333333332,1.1973627777777778,0.7145083730158729,37,201,9.465443110800758,0.909255469765591
7,123,0.09963759034872055,2.200799386298411,447.2225162193588,100,1082,612.4285714285714,0.12549,1.1975505555555555,0.7145083730158729,36,202,9.542995900514427,0.909255469765591
7,999,0.10151264816522598,2.168636205854405,447.23989395401713,101,1119,612.4285714285714,0.1264186111111111,1.257485,0.7145083730158729,37,204,9.946992685236658,0.909255469765591
8,42,0.086309053003788,2.2348492853384094,410.7789390604312,102,803,535.875,0.12894333333333335,1.0327600000000001,0.6251948263888888,36,219,8.009409818266422,0.5329177064224897
